image	original_caption	shuffle_noun_and_adjectives	shuffle_trigrams	shuffle_words_within_trigrams
test/1082250005.jpg	a woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads , a microwave and the chalkboard menu up on the wall 	a food wearing a red shirt and bagged apron stands in her restaurant holding wall and surrounded by pink woman , a microwave and the chalkboard menu up on the breads	a microwave and a pink shirt restaurant holding food wall the chalkboard menu up on the bagged breads , and surrounded by a woman wearing stands in her and red apron	a wearing woman a pink shirt and apron red her in stands food holding restaurant by and surrounded breads bagged , and a microwave chalkboard menu the up on the wall
test/1082250005.jpg	woman wearing a yellow hat , pink shirt , and red apron is holding food in a kitchen 	shirt wearing a pink kitchen , red woman , and yellow apron is holding food in a hat	woman wearing a yellow hat , is holding food and red apron pink shirt , in a kitchen	wearing woman a hat , yellow shirt pink , red apron and is holding food in a kitchen
test/1082250005.jpg	employee in pink shirt smiles for camera inside a restaurant kitchen 	kitchen in pink camera smiles for shirt inside a restaurant employee	shirt smiles for camera inside a employee in pink restaurant kitchen	in employee pink for shirt smiles a camera inside kitchen restaurant
test/1082250005.jpg	a woman holding a bowl of food in a kitchen 	a food holding a woman of kitchen in a bowl	a woman holding food in a kitchen a bowl of	a woman holding of bowl a in food a kitchen
test/1082250005.jpg	women in store happily holding some food 	food in women happily holding some store	happily holding some food women in store	in women store happily holding some food
test/1089059626.jpg	an asian man in spectacles and a t-shirt preparing some food 	an asian spectacles in man and a food - shirt preparing some t	a t- in spectacles and an asian man food shirt preparing some	an asian man in and spectacles t- a some preparing shirt food
test/1089059626.jpg	a man working diligently while sitting at a table 	a table working diligently while sitting at a man	a man working at a table diligently while sitting	working man a sitting diligently while a at table
test/1089059626.jpg	man sitting using tool at a table in his home 	table sitting using man at a tool in his home	home table in his man sitting using tool at a	man using sitting at tool a in his table home
test/1089059626.jpg	indian man whittles in his own home 	indian man whittles in his own home	in his own indian man whittles home	indian man whittles own in his home
test/1089059626.jpg	a man is sharpening a knife 	a man is sharpening a knife	a man is sharpening a knife	is man a a sharpening knife
test/109260218.jpg	spelunkers pose inside a rock cavern while bathed in sunlight from the surface 	rock pose inside a sunlight surface while bathed in cavern from the spelunkers	surface while bathed in a rock cavern sunlight from the spelunkers pose inside	spelunkers pose inside rock cavern a in bathed while from the sunlight surface
test/109260218.jpg	shaft of light in a cave shows three spelunkers	spelunkers of shaft in a cave shows three light	shaft of light shows three spelunkers in a cave	light shaft of in a cave three shows spelunkers
test/109260218.jpg	three rock climbers are posing on big rocks 	three rocks climbers are posing on big rock	big rocks three rock climbers are posing on	climbers rock three posing are on big rocks
test/109260218.jpg	people stand inside a rock dome 	rock stand inside a dome people	people stand inside a rock dome	people inside stand rock dome a
test/109260218.jpg	three people sit in a cave 	three people sit in a cave	in a cave three people sit	three people sit cave in a
test/109656696.jpg	a girl in a polka dotted blue jean dress walks barefoot on a balance beam 	a girl in a beam dotted jean blue balance walks barefoot on a polka dress	a balance beam a girl in blue jean dress walks barefoot on a polka dotted	in girl a a dotted polka blue jean dress on barefoot walks a balance beam
test/109656696.jpg	a girl in a jean dress is walking along a raised balance beam 	a girl in a jean beam is walking along a raised dress balance	a girl in is walking along a jean dress beam a raised balance	a in girl a jean dress along is walking raised balance a beam
test/109656696.jpg	the little girl is walking a beam in gymnastics class 	the little beam is walking a gymnastics in girl class	beam in gymnastics is walking a class the little girl	girl little the walking is a gymnastics beam in class
test/109656696.jpg	a little girl balances on a gymnastics beam 	a little girl beam on a gymnastics balances	a little girl balances on a gymnastics beam	girl a little a balances on beam gymnastics
test/109656696.jpg	a little girl is walking on a balance beam 	a little girl is walking on a beam balance	is walking on a little girl a balance beam	girl little a on walking is balance beam a
test/1104087374.jpg	a couple is sitting on the sand with their feet in the water , and they are shaking hands 	a hands is sitting on the sand with their feet in the water , and they are shaking couple	sitting on the feet in the water , and they are shaking sand with their a couple is hands	couple a is the on sitting with sand their in the feet water , and they are shaking hands
test/1104087374.jpg	a man and woman wearing sunglasses sit halfway in the water 	a sunglasses and man wearing water sit halfway in the woman	woman wearing sunglasses sit halfway in the water a man and	and man a wearing woman sunglasses in sit halfway the water
test/1104087374.jpg	a boy and a girl holding hands while sitting on a shore 	a shore and a boy holding girl while sitting on a hands	a girl holding on a shore a boy and hands while sitting	a boy and a girl holding sitting while hands a shore on
test/1104087374.jpg	a couple with sunglasses are laying on the beach 	a beach with couple are laying on the sunglasses	sunglasses are laying a couple with on the beach	a with couple laying are sunglasses on beach the
test/1104087374.jpg	a blond holding hands with a guy in the sand 	a blond holding hands with a guy in the sand	a blond holding sand guy in the hands with a	a blond holding a with hands guy in the sand
test/110671448.jpg	a woman standing with 3 other people in a store with two tables , some shelves with coffee and tea for sale , and a refrigerated drink case 	a sale standing with 3 other people in a shelves with two tea , some store with tables and case for drink , and a refrigerated woman coffee	and tea for a woman standing sale , and case a refrigerated drink store with two tables , some shelves with coffee people in a with 3 other	a woman standing 3 with other people in a two store with , some tables shelves with coffee tea for and and sale , drink a refrigerated case
test/110671448.jpg	a woman in a gray sweater and black baseball cap is standing in line at a shop 	a cap in a gray sweater and black shop baseball is standing in woman at a line	cap is standing a gray sweater a woman in and black baseball a shop in line at	woman in a sweater a gray black and baseball cap standing is in line at a shop
test/110671448.jpg	a woman in a hat waits to be served at a store 	a waits in a hat store to be served at a woman	a woman in to be served a hat waits at a store	in woman a a waits hat served to be a store at
test/110671448.jpg	young people are standing in the store 	young people are standing in the store	young people are standing in the store	are people young the standing in store
test/110671448.jpg	a woman in a cap at a coffee shop 	a shop in a woman at a coffee cap	a coffee shop a woman in a cap at	woman in a at a cap a coffee shop
test/111497985.jpg	the person has a striped shirt on and is holding on to a rope on a mountain 	the mountain has a striped rope on and is holding on to a person on a shirt	the person has a striped shirt a mountain holding on to on and is a rope on	person has the shirt striped a and on is on to holding on rope a a mountain
test/111497985.jpg	a kid rock climbing against the backdrop of a green valley	a green backdrop climbing against the rock of a kid valley	green valley backdrop of a a kid rock climbing against the	rock a kid climbing the against a backdrop of green valley
test/111497985.jpg	the person in the striped shirt is mountain climbing 	the person in the striped climbing is mountain shirt	the person in the striped shirt is mountain climbing	the in person the shirt striped mountain is climbing
test/111497985.jpg	a woman in a striped shirt climbs up a mountain 	a shirt in a striped woman climbs up a mountain	a striped shirt a woman in mountain climbs up a	woman a in shirt a striped up a climbs mountain
test/111497985.jpg	a young man climbs a rocky hill 	a young man climbs a rocky hill	a young man climbs a rocky hill	a man young a climbs rocky hill
test/1131056918.jpg	two young attractive women in front of a store drop coins for street performers 	two attractive young coins in drop of a women store street for performers front	two young attractive drop coins for women in front of a store street performers	two young attractive in women front a of store coins drop for street performers
test/1131056918.jpg	two women enjoy the entertainment of street performers 	two performers enjoy the street of entertainment women	street performers the entertainment of two women enjoy	women two enjoy entertainment of the performers street
test/1131056918.jpg	two men pretend to be statutes while women look on 	two women pretend to be men while statutes look on	while women look on two men pretend to be statutes	men two pretend to statutes be look while women on
test/1131056918.jpg	two young women stop and watch street performers 	two young performers stop and watch women street	two young women stop and watch street performers	women young two and stop watch street performers
test/1131056918.jpg	pedestrians interact with street artists 	pedestrians interact with street artists	street artists pedestrians interact with	with interact pedestrians street artists
test/1144865997.jpg	a group of people standing on the lawn in front of a building 	a front of group standing on the building in people of a lawn	building front of a people standing on a group of the lawn in	of group a people standing on the lawn in a of front building
test/1144865997.jpg	many people in blue jeans stand in front of a white church 	blue people in white jeans stand in church of a many front	many people in in front of blue jeans stand a white church	people many in jeans blue stand front in of a white church
test/1144865997.jpg	a large group of people stand outside of a church 	a large church of people stand outside of a group	church of people stand outside of a a large group	a group large people stand of of a outside church
test/1144865997.jpg	family members standing outside a home 	members home standing outside a family	outside a home family members standing	family members standing home outside a
test/1144865997.jpg	people standing outside of a building 	people standing outside of a building	people standing outside of a building	standing outside people building a of
test/1153704539.jpg	a young girl wearing a blue shirt marching in a band playing a trumpet	a blue shirt wearing a young trumpet marching in a girl playing a band	a trumpet a band playing shirt marching in wearing a blue a young girl	girl a young wearing a blue shirt marching in a playing band a trumpet
test/1153704539.jpg	girl wearing blue shirt and black shorts plays trumped outside 	plays wearing black shirt and blue shorts girl trumped outside	girl wearing blue shorts plays trumped shirt and black outside	girl blue wearing and black shirt trumped shorts plays outside
test/1153704539.jpg	a teenager plays her trumpet on the field at a game 	a field plays her teenager on the trumpet at a game	a game her trumpet on a teenager plays the field at	plays a teenager her trumpet on field the at a game
test/1153704539.jpg	a girl playing trumpet in a marching band 	a band playing trumpet in a marching girl	a girl playing marching band trumpet in a	a playing girl in trumpet a band marching
test/1153704539.jpg	girl playing the trumpet in a marching band	girl playing the marching in a band trumpet	marching band trumpet in a girl playing the	playing girl the trumpet in a marching band
test/1159381599.jpg	person in a brown sweatshirt does a flip in midair over a trampoline with a river and electrical lines in the background 	background in a electrical lines does a person in sweatshirt over a trampoline with a midair and brown river in the flip	river and electrical trampoline with a a flip in lines in the background person in a brown sweatshirt does midair over a	in a person brown does sweatshirt a flip in midair a over trampoline a with river and electrical lines in the background
test/1159381599.jpg	a young adult is doing a back flip on a trampoline near a lake 	a young trampoline is doing a lake back on a adult near a flip	a lake a trampoline near a young adult back flip on is doing a	a adult young doing is a back flip on a trampoline near lake a
test/1159381599.jpg	a woman is doing flips on a trampoline in front of a lake 	a lake is doing front on a flips in trampoline of a woman	a woman is lake doing flips on front of a a trampoline in	is woman a on doing flips trampoline a in a of front lake
test/1159381599.jpg	a woman does a somersault on a trampoline on the beach 	a beach does a woman on a somersault on the trampoline	a woman does the beach a trampoline on a somersault on	a woman does somersault on a trampoline on a the beach
test/1159381599.jpg	trampolines are a fun way to exercise 	trampolines are a fun way to exercise	fun way to exercise trampolines are a	are a trampolines fun way to exercise
test/1167908324.jpg	a man standing in a bar with a neon beer sign hanging on the wall	a man standing in a bar with a neon sign beer hanging on the wall	with a neon in a bar beer sign hanging on the wall a man standing	standing man a bar a in neon a with hanging beer sign wall the on
test/1167908324.jpg	a man stands next to three video game machines and a beer sign 	a video stands next to three man machines game and a sign beer	sign next to three and a beer a man stands video game machines	stands man a next to three video machines game and a beer sign
test/1167908324.jpg	a man stands next to a bank of computer gambling machines 	a gambling stands next to a computer of bank man machines	gambling machines next to a bank of computer a man stands	man a stands a next to computer of bank gambling machines
test/1167908324.jpg	a man is standing by a group of video games in a bar 	a games is standing by a group of bar video in a man	games in a bar a man is group of video standing by a	man a is a standing by group video of in a games bar
test/1167908324.jpg	a man stands next to three video machines 	a man stands next to three machines video	a man stands video machines next to three	a man stands to three next video machines
test/1181708011.jpg	a woman in a green tank top looking at a drill while a crowd looks on 	a top in a green crowd tank looking at a woman while a drill looks on	a crowd looks on a woman in a green tank top looking at a drill while	a in woman a tank green looking at top drill while a looks crowd a on
test/1181708011.jpg	a woman using a power drill in front of a group of people 	a power using a people group in woman of a drill of front	a group of a power drill a woman using people in front of	using a woman power a drill front in of of group a people
test/1181708011.jpg	a woman uses a drill while another man takes her picture 	a drill uses a woman while another man takes her picture	a drill while another man takes her picture a woman uses	woman uses a drill while a man another takes her picture
test/1181708011.jpg	a woman , in a teal tank top , holding a power drill 	a drill , in a teal top power , holding a tank woman	holding a power a woman , in a teal tank top , drill	, a woman in teal a , top tank holding a power drill
test/1181708011.jpg	spectators about to watch a woman use a drill 	woman about to watch a drill use a spectators	spectators about to use a drill watch a woman	to about spectators woman watch a a drill use
test/118865844.jpg	a woman wearing a pink sweater and eyeglasses is wiping a wooden table with a pink sponge 	a woman wearing a pink eyeglasses and sweater is wiping a wooden sponge with a pink table	a pink sweater wiping a wooden pink sponge table with a and eyeglasses is a woman wearing	wearing a woman sweater a pink is eyeglasses and a wooden wiping with a table pink sponge
test/118865844.jpg	a woman in a pink sweater and an apron , cleaning a table with a sponge 	a apron in a pink sweater and an woman , cleaning a table with a sponge	a pink sweater , cleaning a table with a sponge and an apron a woman in	a woman in a sweater pink an and apron , a cleaning table with a sponge
test/118865844.jpg	a lady with blond-hair and glasses works hard to clean up her table 	a hair with blond - glasses and table works hard to clean up her lady	a lady with and glasses works up her table blond-hair hard to clean	with lady a blond-hair and glasses works hard to clean up her table
test/118865844.jpg	a woman in a pink sweater cleaning a dining table 	a table in a pink woman cleaning a dining sweater	cleaning a dining a woman in a pink sweater table	in woman a sweater pink a a dining cleaning table
test/118865844.jpg	a woman in a pink shirt cleaning a wooden table 	a shirt in a pink woman cleaning a wooden table	table a woman in a pink shirt cleaning a wooden	woman in a shirt a pink a cleaning wooden table
test/121178216.jpg	a man on a utility lift is standing in the tree branches 	a utility on a tree man is standing in the branches lift	is standing in a utility lift a man on the tree branches	man a on a utility lift is standing in the tree branches
test/121178216.jpg	this man bravely cuts down trees on the job 	this man bravely cuts down trees on the job	cuts down trees on the job this man bravely	man bravely this cuts trees down job the on
test/121178216.jpg	a man in black pants cutting bushes 	a pants in black bushes cutting man	black pants cutting a man in bushes	a man in pants black cutting bushes
test/121178216.jpg	man on crane cutting tree branches 	tree on crane cutting branches man	man on crane cutting tree branches	on crane man tree branches cutting
test/121178216.jpg	a man cutting branches of trees 	a man cutting branches of trees	a man cutting branches of trees	man a cutting of branches trees
test/12252043.jpg	four young asian boys hold bowls and chopsticks as they stand around a barbecue 	four young asian barbecue hold chopsticks and bowls as they stand around a boys	and chopsticks as they stand around boys hold bowls a barbecue four young asian	asian four young hold boys bowls as and chopsticks stand around they barbecue a
test/12252043.jpg	group of asian boys wait for meat to cook over barbecue 	group of asian barbecue wait for meat to cook over boys	group of asian meat to cook boys wait for over barbecue	group of asian wait boys for cook to meat barbecue over
test/12252043.jpg	four young boys are standing around a grill 	four young grill are standing around a boys	are standing around a grill four young boys	young four boys around standing are grill a
test/12252043.jpg	four young teens having fun at a cookout 	four young fun having teens at a cookout	having fun at four young teens a cookout	teens four young having fun at a cookout
test/12252043.jpg	a group of asians smiling and eating 	a group of asians smiling and eating	a group of asians smiling and eating	a of group smiling asians and eating
test/1229536824.jpg	native americans are dressed up in native clothing and are participating in an activity together 	native americans are dressed up in native activity and are participating in an clothing together	are participating in native americans are dressed up in an activity together native clothing and	are americans native up dressed in clothing and native participating are in an activity together
test/1229536824.jpg	three people are dressed in costumes and playing musical instruments 	three people are dressed in instruments and playing musical costumes	and playing musical three people are dressed in costumes instruments	people three are costumes in dressed playing musical and instruments
test/1229536824.jpg	women , wearing traditional clothing , are reenacting native life 	clothing , wearing native life , are reenacting traditional women	traditional clothing , life are reenacting native women , wearing	wearing , women , clothing traditional native are reenacting life
